team,week,result,opponent,QB,WR1,WR2,RB1,RB2,TE,FLEX,K,D,FLEXP
steve,11,L,brian,27.52,7.1,5.95,2.3,17.4,9.35,8.4,10,14,RB
brian,11,W,steve,19.02,6.1,7.8,27.55,11.55,8.05,8.55,10,17,WR
jeff,12,L,dave,19.76,21.7,1.85,4.75,3.75,13.1,7.75,17,8,RB
dave,12,W,jeff,8.82,17.15,6.84,31,15.1,4.05,5.3,6,6,RB
owen,12,L,frank,19.68,3.8,6.07,6.6,13.2,0,12.7,7,15,RB
frank,12,W,owen,40.38,16.66,1.35,16.3,-0.2,6.15,6.6,10,16,WR
ryan,12,W,anthony,14.32,5.05,6.9,22.9,14.65,17.85,24.8,3,10,RB
anthony,12,L,ryan,20.76,12.05,8.35,3.1,6.55,12.7,17.4,15,13,RB
fred,12,W,pete,32.96,19.6,13.3,6.9,4.95,6.6,0,16,14,WR
pete,12,L,fred,25.42,15.4,6,5.55,15,11.5,16.15,3,8,RB
steve,12,L,nate,11.12,8.45,13.55,3.95,15.4,11.75,17.7,3,-2,RB
nate,12,W,steve,6.06,12.75,12.95,38.4,7.1,17.5,21.35,6,7,RB
brian,12,L,john,13.1,21.85,6.9,9.4,1.2,16,1.25,10,4,WR
john,12,W,brian,21.58,3.85,5.7,27.9,26.83,4.6,15.35,8,-3,RB
jeff,13,L,john,20,13.9,11.57,2.4,3.65,2.7,11.05,3,17,RB
john,13,W,jeff,13.3,15.15,16.65,5.75,18.6,6.15,16.6,10,6,RB
dave,13,W,owen,30.28,9.85,5.4,20.55,17.65,0,16.07,7,16,WR
owen,13,L,dave,24.6,14.05,5.1,14.05,25.05,0,22.3,5,9,RB
ryan,13,L,frank,11.7,6.85,2.7,31.6,25.95,5.65,17.02,7,2,RB
frank,13,W,ryan,17.08,7.95,15.95,17.85,9.4,12.1,41.55,14,1,WR
fred,13,W,anthony,34.34,14.6,16.05,24.8,23.1,4.8,7.45,7,2,RB
anthony,13,L,fred,31.32,8.3,5.24,22,14.2,9.25,10.05,11,5,RB
steve,13,L,pete,28.58,5.55,17.1,10.75,14.05,2.85,23.7,9,7,RB
pete,13,W,steve,11.88,11.3,5.85,12.05,32.95,14.1,5.45,20,1,RB
brian,13,L,nate,41.62,6.25,7.3,9.7,8.55,11.1,45.7,12,3,WR
nate,13,W,brian,36.9,17.05,9.65,16.9,21.05,18.35,30.4,1,8,RB
owen,14,L,nate,3.92,25.7,15.05,4.3,14,12.75,12.25,17,-1,RB
nate,14,W,owen,48.82,5.45,3,22.75,11.45,3.6,8.85,3,0,RB
brian,14,W,pete,46.58,13,19.93,15.2,17.55,20.9,5.8,16,5,TE
pete,14,L,brian,38.12,18.03,11.7,12.7,18.85,9.05,6.8,4,5,RB
